id;instituicao;nome_categoria;categoria_instituicao
373;Guarda Municipal de Araças;Guarda Municipal;5
374;Guarda Municipal de Araçatuba;Guarda Municipal;5
375;Guarda Municipal de Araçaí;Guarda Municipal;5
376;Guarda Municipal de Araçoiaba;Guarda Municipal;5
377;Guarda Municipal de Araçoiaba da Serra;Guarda Municipal;5
378;Guarda Municipal de Araçu;Guarda Municipal;5
379;Guarda Municipal de Araçuaí;Guarda Municipal;5
380;Guarda Municipal de Araújos;Guarda Municipal;5
381;Guarda Municipal de Arceburgo;Guarda Municipal;5
382;Guarda Municipal de Arco-Íris;Guarda Municipal;5
383;Guarda Municipal de Arcos;Guarda Municipal;5
384;Guarda Municipal de Arcoverde;Guarda Municipal;5
385;Guarda Municipal de Areado;Guarda Municipal;5
386;Guarda Municipal de Areal;Guarda Municipal;5
387;Guarda Municipal de Arealva;Guarda Municipal;5
388;Guarda Municipal de Areia;Guarda Municipal;5
389;Guarda Municipal de Areia Branca;Guarda Municipal;5
390;Guarda Municipal de Areia Branca;Guarda Municipal;5
391;Guarda Municipal de Areia de Baraúnas;Guarda Municipal;5
392;Guarda Municipal de Areial;Guarda Municipal;5
393;Guarda Municipal de Areias;Guarda Municipal;5
394;Guarda Municipal de Areiópolis;Guarda Municipal;5
395;Guarda Municipal de Arenápolis;Guarda Municipal;5
396;Guarda Municipal de Arenópolis;Guarda Municipal;5
397;Guarda Municipal de Argirita;Guarda Municipal;5
398;Guarda Municipal de Aricanduva;Guarda Municipal;5
399;Guarda Municipal de Arinos;Guarda Municipal;5
400;Guarda Municipal de Aripuanã;Guarda Municipal;5
401;Guarda Municipal de Ariquemes;Guarda Municipal;5
402;Guarda Municipal de Ariranha;Guarda Municipal;5
403;Guarda Municipal de Ariranha do Ivaí;Guarda Municipal;5
404;Guarda Municipal de Armazém;Guarda Municipal;5
405;Guarda Municipal de Armação dos Búzios;Guarda Municipal;5
406;Guarda Municipal de Arneiroz;Guarda Municipal;5
407;Guarda Municipal de Aroazes;Guarda Municipal;5
408;Guarda Municipal de Aroeiras;Guarda Municipal;5
409;Guarda Municipal de Aroeiras do Itaim;Guarda Municipal;5
410;Guarda Municipal de Arraial;Guarda Municipal;5
411;Guarda Municipal de Arraial do Cabo;Guarda Municipal;5
412;Guarda Municipal de Arraias;Guarda Municipal;5
413;Guarda Municipal de Arroio Grande;Guarda Municipal;5
414;Guarda Municipal de Arroio Trinta;Guarda Municipal;5
415;Guarda Municipal de Arroio do Meio;Guarda Municipal;5
416;Guarda Municipal de Arroio do Padre;Guarda Municipal;5
417;Guarda Municipal de Arroio do Sal;Guarda Municipal;5
418;Guarda Municipal de Arroio do Tigre;Guarda Municipal;5
419;Guarda Municipal de Arroio dos Ratos;Guarda Municipal;5
420;Guarda Municipal de Artur Nogueira;Guarda Municipal;5
421;Guarda Municipal de Aruanã;Guarda Municipal;5
422;Guarda Municipal de Arujá;Guarda Municipal;5
423;Guarda Municipal de Arvoredo;Guarda Municipal;5
424;Guarda Municipal de Arvorezinha;Guarda Municipal;5
425;Guarda Municipal de Arês;Guarda Municipal;5
426;Guarda Municipal de Ascurra;Guarda Municipal;5
427;Guarda Municipal de Aspásia;Guarda Municipal;5
428;Guarda Municipal de Assaré;Guarda Municipal;5
429;Guarda Municipal de Assaí;Guarda Municipal;5
430;Guarda Municipal de Assis;Guarda Municipal;5
431;Guarda Municipal de Assis Brasil;Guarda Municipal;5
432;Guarda Municipal de Assis Chateaubriand;Guarda Municipal;5
433;Guarda Municipal de Assunção;Guarda Municipal;5
434;Guarda Municipal de Assunção do Piauí;Guarda Municipal;5
435;Guarda Municipal de Astolfo Dutra;Guarda Municipal;5
436;Guarda Municipal de Astorga;Guarda Municipal;5
437;Guarda Municipal de Atalaia;Guarda Municipal;5
